"Category","Severity","Issue Name","Affected Targets","Status","Impact","Ease of Implementation","Urgency","Issue Priority","Due Date","Owner","Notes"
"Authentication Types;Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce the Setting ""Network security: Minimum session security for NTLM SSP based (including secure RPC) servers"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;SCM Registry","Medium","Prohibit connection to non-domain networks when connected to domain authenticated network","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;Password Attributes;SCM;SCM Registry;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the Setting ""Require a Password When a Computer Wakes (On Battery)"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;Password Attributes;SCM;SCM Registry;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Enable and Enforce the Setting ""Require a Password When a Computer Wakes (Plugged In)"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Encryption Configuration;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure Setting ""Set client connection encryption level"" to ""High"" and Enforce via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM","Medium","Updates Required: Configure the Setting System objects: Require case insensitivity for non-Windows subsystems","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM","Medium","Turn off downloading of print drivers over HTTP","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM","Medium","Turn off Internet download for Web publishing and online ordering wizards","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Authentication Type;oms_Security;oms_Windows Server;SCM;SCM Registry;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Turn off Password Manager","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Least Functionality;oms_Security;oms_Windows Server;SCM","Medium","Turn off printing over HTTP","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable and Enforce the Setting ""User Account Control: Admin Approval Mode for the Built-in Administrator account"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Disable and Enforce the Setting ""User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Configure and Enforce the Setting ""User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Configure and Enforce the Setting ""User Account Control: Behavior of the elevation prompt for standard users"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable and Enforce the Setting ""User Account Control: Detect application installations and prompt for elevation"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable and Enforce the Setting ""User Account Control: Only elevate UIAccess applications that are installed in secure locations"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable and Enforce the Setting ""User Account Control: Run all administrators in Admin Approval Mode"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration;System Integrity","Medium","Enable and Enforce the Setting ""User Account Control: Virtualize file and registry write failures to per-user locations"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce the Setting ""Windows Firewall: Domain: Inbound connections"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce the Setting ""Windows Firewall: Private: Inbound connections"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Network Protection;oms_Security;oms_Windows Server;SCM;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Configure and Enforce the Setting ""Windows Firewall: Public: Inbound connections"" via GPO","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"MBSA;oms_Security;oms_Windows Server;Security and Compliance;Server Hardening and Surface Area Configuration","Medium","Address Missing Updates Listed in ""Important Security Updates Missing"" Alerts and Apply Them","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Database Files;oms_SQL;Operations and Monitoring;Routine Maintenance","Medium","Review the auto grow increment setting for databases on the SQL Server instance.","LIMLMOSQL01;ItemWind3","Failed",,,,,,,
"oms_SQL;Security and Compliance;Server Hardening and Surface Area Configuration;SQL Security","Medium","Enforce ""Password Complexity"" for SQL Server logins to adhere to Windows password complexity policy.","LIMCVHDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Security and Compliance;Server Hardening and Surface Area Configuration;SQL Security","Medium","Enforce ""Password Expiration"" for SQL Server logins identified that do not adhere to Windows password expiration policy.","LIMCVHDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Security and Compliance;Security and Privacy Processes;SQL Security","Medium","Review the SQL logins on the instance of SQL Server.","LIMCVHDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"Availability and Business Continuity;Database Files;oms_SQL;Reliability and Stability","Medium","Place data files and transaction log files on separate physical drives for user databases.","LIMCSADBL2.XYZ.DOM.MBC","Failed",,,,,,,
"Database Files;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Separate tempdb and user database files by placing them on different volumes.","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"Identity Management;oms_SQL;Security and Compliance;SQL Security","Medium","Configure the SQL Server Agent service to use a recommended account.","LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;OS Configurations for SQL;Performance and Scalability;Performance Tuning and Configuration","Medium","Consider changing your operating system power saving settings to optimize performance.","LIMCVHSQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC;LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"Database Indexes;oms_SQL;Performance and Scalability;Performance Tuning and Configuration","Medium","Defragment indexes to improve performance.","LIMCVHDBL.XYZ.DOM.MBC;Core2;LIMCVHDBL.XYZ.DOM.MBC;Crystal2","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Configurations","Medium","Review the non-default user connections setting on Microsoft SQL Server.","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"Availability and Business Continuity;oms_SQL;Reliability and Stability;SQL Configurations","Medium","Review the non-default Scan for Startup Procs setting on Microsoft SQL Server.","LIMAJIDBL.XYZ.DOM.MBC","Failed",,,,,,,
"Availability and Business Continuity;Business Continuity Processes;oms_SQL;SQL Configurations","Medium","Review the SQL Server Configuration for common criteria compliance (CCC ENABLED) is set to 1.","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Configurations","Medium","Review the SQL Server instance configuration setting for Backup Compression Default and configure the value to match your company policy.","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Security and Compliance;Server Hardening and Surface Area Configuration;SQL Configurations","Medium","Review the non-default show advanced options setting on Microsoft SQL Server.","LIMAJIDBL.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Security and Compliance;Server Hardening and Surface Area Configuration;SQL Configurations","Medium","Review the SQL Server Instance configuration settings for ‘CLR enabled’ and configure the value to match the company security policy.","LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC","Failed",,,,,,,
"Performance and Scalability;Designing for Performance;Database Indexes;oms_SQL","Medium","Consider compressing database tables and indexes","LIMCVHDBL;Crystal2;LIMCVHDBL;Core2;LIMCSADBL2;Vault1;LIMAJIDBL;ItemLeaf5;LIMAJIDBL;Vault1;LIMAJIDBL;Atlas2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider deleting duplicate indexes on tables and/or indexed views in databases.","LIMLMOSQL01;ItemStone4;LIMLMOSQL01;ItemDust4;LIMCSADBL2;ItemWave2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider creating supporting indexes for tables with foreign keys.","LIMLMOSQL01;ItemStone4;LIMLMOSQL01;ItemFlame4;LIMLMOSQL01;ItemStone3;LIMLMOSQL01;ItemFlame3;LIMAJIDBL;Vault1;LIMCSADBL2;ItemSpark5;LIMCSADBL2;Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2;Pool1 ItemFlame1 ItemWave4;LIMCSADBL2;ItemWave2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider removing unnecessary indexes in database tables with more indexes than columns.","LIMLMOSQL01;ItemQuasar4","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider deleting redundant indexes on tables and/or indexed views in databases.","LIMLMOSQL01;ItemStone4;LIMLMOSQL01;ItemQuasar4;LIMLMOSQL01;ItemDust4;LIMAJIDBL;ItemLeaf5;LIMCSADBL2;ItemWave2;LIMCSADBL2;ItemLeaf1;LIMCVHDBL;ItemWave6;LIMCVHDBL;Stream1;LIMCVHDBL;Vault2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider creating clustered indexes for database tables that do not have them.","LIMLMOSQL01;ItemStone3;LIMLMOSQL01;ItemFlame3;LIMAJIDBL;Vault1;LIMAJIDBL;ItemLeaf5;LIMCSADBL2;Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2;ItemLeaf1;LIMCVHDBL;Core2;LIMCVHDBL;Crystal2","Failed",,,,,,,
"Database Indexes;Designing for Performance;oms_SQL;Performance and Scalability","Medium","Consider creating indexes for database tables that do not have them.","LIMLMOSQL01;ItemFlame4;LIMLMOSQL01;ItemDust4;LIMLMOSQL01;ItemStone3;LIMLMOSQL01;ItemFlame3;LIMLMOSQL01;Vault1;LIMAJIDBL;Vault1;LIMAJIDBL;ItemLeaf5;LIMCSADBL2;Vault1;LIMCVHDBL;Core2;LIMCVHDBL;Crystal2;LIMCVHDBL;Root1;LIMCVHDBL;Shard1;LIMCVHDBL;Vault1","Failed",,,,,,,
"Database Options;oms_SQL;Performance and Scalability;Performance Tuning & Configuration;Performance Tuning and Configuration","Medium","Update the user databases to match the collation of the master and model databases.","LIMCSADBL2.XYZ.DOM.MBC:ItemWave5;LIMCSADBL2.XYZ.DOM.MBC:Core1;LIMCSADBL2.XYZ.DOM.MBC:ItemQuasar2;LIMCSADBL2.XYZ.DOM.MBC:ItemStone5;LIMCSADBL2.XYZ.DOM.MBC:ItemWind5;LIMCSADBL2.XYZ.DOM.MBC:ItemSpark5;LIMCSADBL2.XYZ.DOM.MBC:ItemWave3;LIMCSADBL2.XYZ.DOM.MBC:ItemDust6;LIMCSADBL2.XYZ.DOM.MBC:ItemStar6;LIMCSADBL2.XYZ.DOM.MBC:ItemFlame6;LIMCSADBL2.XYZ.DOM.MBC:ItemStone6;LIMCSADBL2.XYZ.DOM.MBC:ItemComet6;LIMCSADBL2.XYZ.DOM.MBC:ItemDust7;LIMAJIDBL.XYZ.DOM.MBC:ItemFlame2;LIMLMOSQL01.XYZ.DOM.MBC:ItemComet3;LIMLMOSQL01.XYZ.DOM.MBC:ItemWind3","Failed",,,,,,,
"Database Options;oms_SQL;Performance and Scalability;Performance Tuning & Configuration;Performance Tuning and Configuration","Medium","Upgrade the affected database(s) compatibility level to the current version of SQL Server default compatibility level.","LIMCVHDBL.XYZ.DOM.MBC:Vault2;LIMCVHDBL.XYZ.DOM.MBC:Stream1;LIMCVHDBL.XYZ.DOM.MBC:Shard1;LIMCVHDBL.XYZ.DOM.MBC:Root1;LIMCVHDBL.XYZ.DOM.MBC:ItemWave6;LIMCVHDBL.XYZ.DOM.MBC:Crystal2;LIMCVHDBL.XYZ.DOM.MBC:Core2;LIMCSADBL2.XYZ.DOM.MBC:ItemLeaf1;LIMCSADBL2.XYZ.DOM.MBC:ItemWave5;LIMCSADBL2.XYZ.DOM.MBC:ItemWave2;LIMCSADBL2.XYZ.DOM.MBC:Core1;LIMCSADBL2.XYZ.DOM.MBC:ItemQuasar2;LIMCSADBL2.XYZ.DOM.MBC:ItemStone5;LIMCSADBL2.XYZ.DOM.MBC:Pool1 ItemFlame1 ItemWave4;LIMCSADBL2.XYZ.DOM.MBC:Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2.XYZ.DOM.MBC:ItemWind5;LIMCSADBL2.XYZ.DOM.MBC:ItemSpark5;LIMCSADBL2.XYZ.DOM.MBC:ItemSpark2;LIMCSADBL2.XYZ.DOM.MBC:ItemWave3;LIMCSADBL2.XYZ.DOM.MBC:ItemDust6;LIMCSADBL2.XYZ.DOM.MBC:ItemStar6;LIMCSADBL2.XYZ.DOM.MBC:ItemFlame6;LIMCSADBL2.XYZ.DOM.MBC:ItemStone6;LIMCSADBL2.XYZ.DOM.MBC:ItemComet6;LIMCSADBL2.XYZ.DOM.MBC:ItemDust7;LIMAJIDBL.XYZ.DOM.MBC:ItemLeaf5;LIMAJIDBL.XYZ.DOM.MBC:Stream2;LIMAJIDBL.XYZ.DOM.MBC:ItemFlame2;LIMAJIDBL.XYZ.DOM.MBC:Archive1;LIMAJIDBL.XYZ.DOM.MBC:Atlas2;LIMAJIDBL.XYZ.DOM.MBC:Rigel2;LIMAJIDBL.XYZ.DOM.MBC:Helios2;LIMAJIDBL.XYZ.DOM.MBC:Titan2;LIMLMOSQL01.XYZ.DOM.MBC:ItemFlame2;LIMLMOSQL01.XYZ.DOM.MBC:Orion2;LIMLMOSQL01.XYZ.DOM.MBC:Nova2;LIMLMOSQL01.XYZ.DOM.MBC:ItemFlame3;LIMLMOSQL01.XYZ.DOM.MBC:ItemStone3;LIMLMOSQL01.XYZ.DOM.MBC:ItemComet3;LIMLMOSQL01.XYZ.DOM.MBC:ItemWind3;LIMLMOSQL01.XYZ.DOM.MBC:ItemDust4;LIMLMOSQL01.XYZ.DOM.MBC:ItemQuasar4;LIMLMOSQL01.XYZ.DOM.MBC:ItemStone4","Failed",,,,,,,
"Event Log Analysis;Information Gathering;oms_SQL;Operations and Monitoring","Medium","Investigate the Application Event Log: Perflib:2003 – The configuration information of the performance library does not match the trusted performance library information.","LIMAJISQL04.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;OS Configurations for SQL;Performance and Scalability;Performance Tuning and Configuration","Medium","Review the ‘system managed’ page file setting on the Microsoft Windows Server.","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Medium","Balance schedulers in a NUMA configuration","LIMCSADBL2.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Medium","Compare Processor: %Privileged Time (Total) with your baseline and investigate hardware and device drivers if the value is higher than normal.","LIMCVHSQL04.XYZ.DOM.MBC","Failed",,,,,,,
"Availability and Business Continuity;oms_SQL;Reliability and Stability;SQL Server maintenance","Medium","Some jobs or job steps are in failed status","LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Medium","Buffer Cache Hit ratio is low","LIMCVHDBL.XYZ.DOM.MBC","Failed",,,,,,,
"oms_SQL;Performance and Scalability;Performance Tuning and Configuration;SQL Performance","Medium","Investigate the reason for low page life expectancy.","LIMCVHDBL.XYZ.DOM.MBC","Failed",,,,,,,
"Identity Management;oms_SQL;Security and Compliance;SQL Security","Medium","Remove the right to log on through Remote Desktop to the server from non-administrators.","LIMCSASQL08.XYZ.DOM.MBC;LIMAJISQL04.XYZ.DOM.MBC;LIMCVHSQL03.XYZ.DOM.MBC;LIMAJISQL03.XYZ.DOM.MBC;LIMCVHSQL04.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC;LIMCSASQL07.XYZ.DOM.MBC","Failed",,,,,,,
"Identity Management;oms_SQL;Security and Compliance;SQL Security","Medium","Ensure only essential users are added to the SQL Server instance sysadmin server role.","LIMCVHDBL.XYZ.DOM.MBC;LIMCSADBL2.XYZ.DOM.MBC;LIMAJIDBL.XYZ.DOM.MBC;LIMLMOSQL01.XYZ.DOM.MBC","Failed",,,,,,,
"Identity Management;oms_SQL;Security and Compliance;SQL Security","Medium","Avoid adding users to the db_owner database role.","LIMCVHDBL.XYZ.DOM.MBC:Vault2;LIMCVHDBL.XYZ.DOM.MBC:Stream1;LIMCVHDBL.XYZ.DOM.MBC:Shard1;LIMCVHDBL.XYZ.DOM.MBC:Root1;LIMCVHDBL.XYZ.DOM.MBC:Crystal2;LIMCVHDBL.XYZ.DOM.MBC:Core2;LIMCSADBL2.XYZ.DOM.MBC:ItemWave2;LIMCSADBL2.XYZ.DOM.MBC:Pool1 ItemFlame1 ItemWave4;LIMCSADBL2.XYZ.DOM.MBC:Pool1 ItemStar3 ItemComet4 ItemStar2;LIMCSADBL2.XYZ.DOM.MBC:Apollo2;LIMCSADBL2.XYZ.DOM.MBC:Sirius2;LIMCSADBL2.XYZ.DOM.MBC:ItemWind5;LIMCSADBL2.XYZ.DOM.MBC:ItemSpark5;LIMCSADBL2.XYZ.DOM.MBC:msdb;LIMCSADBL2.XYZ.DOM.MBC:ItemComet2;LIMCSADBL2.XYZ.DOM.MBC:ItemWind2;LIMCSADBL2.XYZ.DOM.MBC:Vega2;LIMCSADBL2.XYZ.DOM.MBC:Polaris3;LIMAJIDBL.XYZ.DOM.MBC:ItemLeaf5;LIMAJIDBL.XYZ.DOM.MBC:Vault1;LIMAJIDBL.XYZ.DOM.MBC:master;LIMAJIDBL.XYZ.DOM.MBC:ItemFlame2;LIMAJIDBL.XYZ.DOM.MBC:Archive1;LIMAJIDBL.XYZ.DOM.MBC:msdb;LIMAJIDBL.XYZ.DOM.MBC:Atlas2;LIMAJIDBL.XYZ.DOM.MBC:Rigel2;LIMAJIDBL.XYZ.DOM.MBC:Helios2;LIMAJIDBL.XYZ.DOM.MBC:Titan2;LIMLMOSQL01.XYZ.DOM.MBC:Vault1;LIMLMOSQL01.XYZ.DOM.MBC:master;LIMLMOSQL01.XYZ.DOM.MBC:ItemFlame2;LIMLMOSQL01.XYZ.DOM.MBC:msdb;LIMLMOSQL01.XYZ.DOM.MBC:ItemFlame3;LIMLMOSQL01.XYZ.DOM.MBC:ItemStone3;LIMLMOSQL01.XYZ.DOM.MBC:ItemComet3;LIMLMOSQL01.XYZ.DOM.MBC:ItemWind3;LIMLMOSQL01.XYZ.DOM.MBC:ItemDust4;LIMLMOSQL01.XYZ.DOM.MBC:ItemQuasar4;LIMLMOSQL01.XYZ.DOM.MBC:ItemStone4","Failed",,,,,,,
